name,leavetime,reachtime,seat,charge,date,day,airport,leavehour
에어서울,600,700,특가석,35600,2023-07-21,금,GMP-CJU,6
에어서울,600,700,할인석,47600,2023-07-21,금,GMP-CJU,6
에어서울,600,700,일반석,119700,2023-07-21,금,GMP-CJU,6
진에어,605,720,특가석,28200,2023-07-21,금,GMP-CJU,6
진에어,605,720,할인석,40800,2023-07-21,금,GMP-CJU,6
진에어,605,720,일반석,119700,2023-07-21,금,GMP-CJU,6
이스타항공,610,720,할인석,29000,2023-07-21,금,GMP-CJU,6
아시아나항공,610,720,특가석,42700,2023-07-21,금,GMP-CJU,6
아시아나항공,610,720,할인석,72700,2023-07-21,금,GMP-CJU,6
이스타항공,610,720,일반석,119600,2023-07-21,금,GMP-CJU,6
아시아나항공,610,720,일반석,132700,2023-07-21,금,GMP-CJU,6
진에어,615,725,특가석,28200,2023-07-21,금,GMP-CJU,6
이스타항공,615,725,할인석,29000,2023-07-21,금,GMP-CJU,6
제주항공,615,730,특가석,29600,2023-07-21,금,GMP-CJU,6
진에어,615,725,할인석,42700,2023-07-21,금,GMP-CJU,6
대한항공,615,725,할인석,67700,2023-07-21,금,GMP-CJU,6
대한항공,615,725,일반석,106700,2023-07-21,금,GMP-CJU,6
제주항공,615,730,일반석,119200,2023-07-21,금,GMP-CJU,6
이스타항공,615,725,일반석,119600,2023-07-21,금,GMP-CJU,6
진에어,615,725,일반석,119700,2023-07-21,금,GMP-CJU,6
티웨이항공,620,730,할인석,27800,2023-07-21,금,GMP-CJU,6
티웨이항공,620,730,일반석,118700,2023-07-21,금,GMP-CJU,6
제주항공,625,735,특가석,29600,2023-07-21,금,GMP-CJU,6
제주항공,625,735,일반석,119200,2023-07-21,금,GMP-CJU,6
대한항공,640,750,특가석,37700,2023-07-21,금,GMP-CJU,6
아시아나항공,640,750,특가석,42700,2023-07-21,금,GMP-CJU,6
아시아나항공,640,750,할인석,72700,2023-07-21,금,GMP-CJU,6
대한항공,640,750,할인석,83700,2023-07-21,금,GMP-CJU,6
대한항공,640,750,일반석,129700,2023-07-21,금,GMP-CJU,6
아시아나항공,640,750,일반석,132700,2023-07-21,금,GMP-CJU,6
에어부산,645,805,할인석,33900,2023-07-21,금,GMP-CJU,6
에어부산,645,805,일반석,118700,2023-07-21,금,GMP-CJU,6
이스타항공,650,755,할인석,32500,2023-07-21,금,GMP-CJU,6
이스타항공,650,755,일반석,119600,2023-07-21,금,GMP-CJU,6
티웨이항공,700,810,할인석,31900,2023-07-21,금,GMP-CJU,7
제주항공,700,810,특가석,33600,2023-07-21,금,GMP-CJU,7
대한항공,700,810,특가석,37700,2023-07-21,금,GMP-CJU,7
대한항공,700,810,할인석,83700,2023-07-21,금,GMP-CJU,7
티웨이항공,700,810,일반석,118700,2023-07-21,금,GMP-CJU,7
제주항공,700,810,일반석,119200,2023-07-21,금,GMP-CJU,7
대한항공,700,810,일반석,129700,2023-07-21,금,GMP-CJU,7
대한항공,715,825,특가석,37700,2023-07-21,금,GMP-CJU,7
대한항공,715,825,할인석,83700,2023-07-21,금,GMP-CJU,7
대한항공,715,825,일반석,129700,2023-07-21,금,GMP-CJU,7
에어부산,725,835,할인석,33900,2023-07-21,금,GMP-CJU,7
아시아나항공,725,835,특가석,54700,2023-07-21,금,GMP-CJU,7
아시아나항공,725,835,할인석,72700,2023-07-21,금,GMP-CJU,7
에어부산,725,835,일반석,118700,2023-07-21,금,GMP-CJU,7
아시아나항공,725,835,일반석,132700,2023-07-21,금,GMP-CJU,7
대한항공,730,840,특가석,57700,2023-07-21,금,GMP-CJU,7
대한항공,730,840,할인석,83700,2023-07-21,금,GMP-CJU,7
대한항공,730,840,일반석,129700,2023-07-21,금,GMP-CJU,7
제주항공,740,850,특가석,37600,2023-07-21,금,GMP-CJU,7
제주항공,740,850,일반석,119200,2023-07-21,금,GMP-CJU,7
이스타항공,755,905,할인석,35600,2023-07-21,금,GMP-CJU,7
아시아나항공,755,905,할인석,78700,2023-07-21,금,GMP-CJU,7
이스타항공,755,905,일반석,119600,2023-07-21,금,GMP-CJU,7
아시아나항공,755,905,일반석,132700,2023-07-21,금,GMP-CJU,7
에어부산,800,920,일반석,118700,2023-07-21,금,GMP-CJU,8
대한항공,810,920,할인석,94700,2023-07-21,금,GMP-CJU,8
대한항공,810,920,일반석,129700,2023-07-21,금,GMP-CJU,8
티웨이항공,815,925,할인석,39210,2023-07-21,금,GMP-CJU,8
티웨이항공,815,925,일반석,118700,2023-07-21,금,GMP-CJU,8
아시아나항공,820,935,할인석,84700,2023-07-21,금,GMP-CJU,8
아시아나항공,820,935,일반석,132700,2023-07-21,금,GMP-CJU,8
아시아나항공,830,940,할인석,96700,2023-07-21,금,GMP-CJU,8
아시아나항공,830,940,일반석,132700,2023-07-21,금,GMP-CJU,8
대한항공,855,1005,할인석,94700,2023-07-21,금,GMP-CJU,8
대한항공,855,1005,일반석,129700,2023-07-21,금,GMP-CJU,8
대한항공,900,1010,할인석,94700,2023-07-21,금,GMP-CJU,9
