name,seat,charge,leavehour,departure,arrival,departure_datetime,arrival_datetime,check
에어서울,특가석,35600,6,GMP,CJU,2023-07-21 06:00:00,2023-07-21 07:00:00,come
에어서울,할인석,47600,6,GMP,CJU,2023-07-21 06:00:00,2023-07-21 07:00:00,come
에어서울,일반석,119700,6,GMP,CJU,2023-07-21 06:00:00,2023-07-21 07:00:00,come
진에어,특가석,28200,6,GMP,CJU,2023-07-21 06:05:00,2023-07-21 07:20:00,come
진에어,할인석,40800,6,GMP,CJU,2023-07-21 06:05:00,2023-07-21 07:20:00,come
진에어,일반석,119700,6,GMP,CJU,2023-07-21 06:05:00,2023-07-21 07:20:00,come
이스타항공,할인석,29000,6,GMP,CJU,2023-07-21 06:10:00,2023-07-21 07:20:00,come
아시아나항공,특가석,42700,6,GMP,CJU,2023-07-21 06:10:00,2023-07-21 07:20:00,come
아시아나항공,할인석,72700,6,GMP,CJU,2023-07-21 06:10:00,2023-07-21 07:20:00,come
이스타항공,일반석,119600,6,GMP,CJU,2023-07-21 06:10:00,2023-07-21 07:20:00,come
아시아나항공,일반석,132700,6,GMP,CJU,2023-07-21 06:10:00,2023-07-21 07:20:00,come
진에어,특가석,28200,6,GMP,CJU,2023-07-21 06:15:00,2023-07-21 07:25:00,come
이스타항공,할인석,29000,6,GMP,CJU,2023-07-21 06:15:00,2023-07-21 07:25:00,come
제주항공,특가석,29600,6,GMP,CJU,2023-07-21 06:15:00,2023-07-21 07:30:00,come
진에어,할인석,42700,6,GMP,CJU,2023-07-21 06:15:00,2023-07-21 07:25:00,come
대한항공,할인석,67700,6,GMP,CJU,2023-07-21 06:15:00,2023-07-21 07:25:00,come
대한항공,일반석,106700,6,GMP,CJU,2023-07-21 06:15:00,2023-07-21 07:25:00,come
제주항공,일반석,119200,6,GMP,CJU,2023-07-21 06:15:00,2023-07-21 07:30:00,come
이스타항공,일반석,119600,6,GMP,CJU,2023-07-21 06:15:00,2023-07-21 07:25:00,come
진에어,일반석,119700,6,GMP,CJU,2023-07-21 06:15:00,2023-07-21 07:25:00,come
티웨이항공,할인석,27800,6,GMP,CJU,2023-07-21 06:20:00,2023-07-21 07:30:00,come
