name,leavetime,reachtime,seat,charge,date,day,airport,leavehour
에어서울,600,700,할인석,57600,2023-08-20,일,GMP-CJU,6
에어서울,600,700,일반석,62300,2023-08-20,일,GMP-CJU,6
진에어,605,720,일반석,97700,2023-08-20,일,GMP-CJU,6
이스타항공,610,720,할인석,58600,2023-08-20,일,GMP-CJU,6
아시아나항공,610,720,특가석,59700,2023-08-20,일,GMP-CJU,6
아시아나항공,610,720,할인석,64700,2023-08-20,일,GMP-CJU,6
이스타항공,610,720,일반석,97600,2023-08-20,일,GMP-CJU,6
아시아나항공,610,720,일반석,115700,2023-08-20,일,GMP-CJU,6
이스타항공,615,725,할인석,58600,2023-08-20,일,GMP-CJU,6
진에어,615,725,할인석,65000,2023-08-20,일,GMP-CJU,6
제주항공,615,730,할인석,71600,2023-08-20,일,GMP-CJU,6
이스타항공,615,725,일반석,97600,2023-08-20,일,GMP-CJU,6
진에어,615,725,일반석,97700,2023-08-20,일,GMP-CJU,6
제주항공,615,730,일반석,97700,2023-08-20,일,GMP-CJU,6
티웨이항공,620,730,할인석,57260,2023-08-20,일,GMP-CJU,6
티웨이항공,620,730,일반석,97700,2023-08-20,일,GMP-CJU,6
제주항공,625,735,할인석,65600,2023-08-20,일,GMP-CJU,6
제주항공,625,735,일반석,97700,2023-08-20,일,GMP-CJU,6
아시아나항공,640,750,할인석,69700,2023-08-20,일,GMP-CJU,6
대한항공,640,750,할인석,78700,2023-08-20,일,GMP-CJU,6
대한항공,640,750,일반석,112700,2023-08-20,일,GMP-CJU,6
아시아나항공,640,750,일반석,115700,2023-08-20,일,GMP-CJU,6
에어부산,645,805,할인석,64160,2023-08-20,일,GMP-CJU,6
에어부산,645,805,일반석,95700,2023-08-20,일,GMP-CJU,6
이스타항공,650,755,할인석,69600,2023-08-20,일,GMP-CJU,6
이스타항공,650,755,일반석,97600,2023-08-20,일,GMP-CJU,6
티웨이항공,700,810,할인석,71510,2023-08-20,일,GMP-CJU,7
대한항공,700,810,할인석,74700,2023-08-20,일,GMP-CJU,7
제주항공,700,810,할인석,78600,2023-08-20,일,GMP-CJU,7
티웨이항공,700,810,일반석,97700,2023-08-20,일,GMP-CJU,7
제주항공,700,810,일반석,97700,2023-08-20,일,GMP-CJU,7
대한항공,700,810,일반석,112700,2023-08-20,일,GMP-CJU,7
에어부산,710,830,일반석,95700,2023-08-20,일,GMP-CJU,7
대한항공,715,825,할인석,74700,2023-08-20,일,GMP-CJU,7
대한항공,715,825,일반석,112700,2023-08-20,일,GMP-CJU,7
아시아나항공,725,835,할인석,74700,2023-08-20,일,GMP-CJU,7
에어부산,725,835,할인석,76610,2023-08-20,일,GMP-CJU,7
에어부산,725,835,일반석,95700,2023-08-20,일,GMP-CJU,7
아시아나항공,725,835,일반석,115700,2023-08-20,일,GMP-CJU,7
대한항공,730,840,할인석,74700,2023-08-20,일,GMP-CJU,7
대한항공,730,840,일반석,112700,2023-08-20,일,GMP-CJU,7
제주항공,740,850,할인석,89600,2023-08-20,일,GMP-CJU,7
제주항공,740,850,일반석,97700,2023-08-20,일,GMP-CJU,7
이스타항공,755,905,할인석,84600,2023-08-20,일,GMP-CJU,7
아시아나항공,755,905,할인석,85700,2023-08-20,일,GMP-CJU,7
이스타항공,755,905,일반석,97600,2023-08-20,일,GMP-CJU,7
아시아나항공,755,905,일반석,115700,2023-08-20,일,GMP-CJU,7
티웨이항공,805,915,일반석,96100,2023-08-20,일,GMP-CJU,8
대한항공,810,920,할인석,92700,2023-08-20,일,GMP-CJU,8
대한항공,810,920,일반석,112700,2023-08-20,일,GMP-CJU,8
아시아나항공,820,935,할인석,85700,2023-08-20,일,GMP-CJU,8
아시아나항공,820,935,일반석,115700,2023-08-20,일,GMP-CJU,8
아시아나항공,830,940,할인석,85700,2023-08-20,일,GMP-CJU,8
아시아나항공,830,940,일반석,115700,2023-08-20,일,GMP-CJU,8
이스타항공,850,1000,할인석,84600,2023-08-20,일,GMP-CJU,8
이스타항공,850,1000,일반석,97600,2023-08-20,일,GMP-CJU,8
대한항공,855,1005,할인석,92700,2023-08-20,일,GMP-CJU,8
대한항공,855,1005,일반석,112700,2023-08-20,일,GMP-CJU,8
제주항공,900,1010,할인석,89600,2023-08-20,일,GMP-CJU,9
대한항공,900,1010,할인석,92700,2023-08-20,일,GMP-CJU,9
제주항공,900,1010,일반석,97700,2023-08-20,일,GMP-CJU,9
대한항공,900,1010,일반석,112700,2023-08-20,일,GMP-CJU,9
에어서울,910,1025,할인석,84600,2023-08-20,일,GMP-CJU,9
에어서울,910,1025,일반석,90500,2023-08-20,일,GMP-CJU,9
제주항공,925,1035,할인석,89600,2023-08-20,일,GMP-CJU,9
제주항공,925,1035,일반석,97700,2023-08-20,일,GMP-CJU,9
대한항공,930,1040,할인석,102700,2023-08-20,일,GMP-CJU,9
대한항공,930,1040,일반석,112700,2023-08-20,일,GMP-CJU,9
티웨이항공,945,1055,일반석,96100,2023-08-20,일,GMP-CJU,9
이스타항공,950,1105,할인석,84600,2023-08-20,일,GMP-CJU,9
아시아나항공,950,1100,할인석,85700,2023-08-20,일,GMP-CJU,9
이스타항공,950,1105,일반석,97600,2023-08-20,일,GMP-CJU,9
아시아나항공,950,1100,일반석,115700,2023-08-20,일,GMP-CJU,9
아시아나항공,1015,1125,할인석,85700,2023-08-20,일,GMP-CJU,10
아시아나항공,1015,1125,일반석,115700,2023-08-20,일,GMP-CJU,10
진에어,1030,1145,할인석,82600,2023-08-20,일,GMP-CJU,10
진에어,1030,1145,일반석,97700,2023-08-20,일,GMP-CJU,10
제주항공,1035,1135,할인석,81600,2023-08-20,일,GMP-CJU,10
대한항공,1035,1150,할인석,92700,2023-08-20,일,GMP-CJU,10
제주항공,1035,1135,일반석,97700,2023-08-20,일,GMP-CJU,10
대한항공,1035,1150,일반석,112700,2023-08-20,일,GMP-CJU,10
아시아나항공,1040,1150,할인석,85700,2023-08-20,일,GMP-CJU,10
아시아나항공,1040,1150,일반석,115700,2023-08-20,일,GMP-CJU,10
이스타항공,1045,1155,할인석,78600,2023-08-20,일,GMP-CJU,10
대한항공,1045,1155,할인석,92700,2023-08-20,일,GMP-CJU,10
이스타항공,1045,1155,일반석,97600,2023-08-20,일,GMP-CJU,10
대한항공,1045,1155,일반석,112700,2023-08-20,일,GMP-CJU,10
이스타항공,1055,1205,할인석,78600,2023-08-20,일,GMP-CJU,10
이스타항공,1055,1205,일반석,97600,2023-08-20,일,GMP-CJU,10
진에어,1100,1205,할인석,82600,2023-08-20,일,GMP-CJU,11
대한항공,1100,1210,할인석,82700,2023-08-20,일,GMP-CJU,11
진에어,1100,1205,일반석,97700,2023-08-20,일,GMP-CJU,11
대한항공,1100,1210,일반석,112700,2023-08-20,일,GMP-CJU,11
에어부산,1110,1230,할인석,80760,2023-08-20,일,GMP-CJU,11
에어부산,1110,1230,일반석,95700,2023-08-20,일,GMP-CJU,11
아시아나항공,1115,1225,할인석,79700,2023-08-20,일,GMP-CJU,11
아시아나항공,1115,1225,일반석,115700,2023-08-20,일,GMP-CJU,11
대한항공,1130,1240,할인석,82700,2023-08-20,일,GMP-CJU,11
제주항공,1130,1230,일반석,97700,2023-08-20,일,GMP-CJU,11
대한항공,1130,1240,일반석,112700,2023-08-20,일,GMP-CJU,11
이스타항공,1140,1250,할인석,78600,2023-08-20,일,GMP-CJU,11
이스타항공,1140,1250,일반석,97600,2023-08-20,일,GMP-CJU,11
티웨이항공,1145,1255,일반석,96100,2023-08-20,일,GMP-CJU,11
아시아나항공,1150,1305,할인석,79700,2023-08-20,일,GMP-CJU,11
아시아나항공,1150,1305,일반석,115700,2023-08-20,일,GMP-CJU,11
대한항공,1155,1305,할인석,82700,2023-08-20,일,GMP-CJU,11
대한항공,1155,1305,일반석,112700,2023-08-20,일,GMP-CJU,11
제주항공,1215,1335,할인석,71600,2023-08-20,일,GMP-CJU,12
제주항공,1215,1335,일반석,97700,2023-08-20,일,GMP-CJU,12
아시아나항공,1220,1335,할인석,74700,2023-08-20,일,GMP-CJU,12
아시아나항공,1220,1335,일반석,115700,2023-08-20,일,GMP-CJU,12
아시아나항공,1225,1335,할인석,74700,2023-08-20,일,GMP-CJU,12
아시아나항공,1225,1335,일반석,115700,2023-08-20,일,GMP-CJU,12
제주항공,1240,1350,할인석,65600,2023-08-20,일,GMP-CJU,12
제주항공,1240,1350,일반석,97700,2023-08-20,일,GMP-CJU,12
티웨이항공,1250,1400,할인석,61060,2023-08-20,일,GMP-CJU,12
에어서울,1250,1400,할인석,66600,2023-08-20,일,GMP-CJU,12
에어서울,1250,1400,일반석,71700,2023-08-20,일,GMP-CJU,12
티웨이항공,1250,1400,일반석,97700,2023-08-20,일,GMP-CJU,12
이스타항공,1255,1405,할인석,64600,2023-08-20,일,GMP-CJU,12
이스타항공,1255,1405,일반석,97600,2023-08-20,일,GMP-CJU,12
대한항공,1300,1410,특가석,67700,2023-08-20,일,GMP-CJU,13
아시아나항공,1300,1410,할인석,69700,2023-08-20,일,GMP-CJU,13
대한항공,1300,1410,할인석,74700,2023-08-20,일,GMP-CJU,13
대한항공,1300,1410,일반석,112700,2023-08-20,일,GMP-CJU,13
아시아나항공,1300,1410,일반석,115700,2023-08-20,일,GMP-CJU,13
제주항공,1310,1420,할인석,65600,2023-08-20,일,GMP-CJU,13
제주항공,1310,1420,일반석,97700,2023-08-20,일,GMP-CJU,13
대한항공,1320,1430,특가석,67700,2023-08-20,일,GMP-CJU,13
대한항공,1320,1430,할인석,74700,2023-08-20,일,GMP-CJU,13
대한항공,1320,1430,일반석,112700,2023-08-20,일,GMP-CJU,13
제주항공,1330,1440,할인석,65600,2023-08-20,일,GMP-CJU,13
대한항공,1330,1440,특가석,67700,2023-08-20,일,GMP-CJU,13
대한항공,1330,1440,할인석,74700,2023-08-20,일,GMP-CJU,13
제주항공,1330,1440,일반석,97700,2023-08-20,일,GMP-CJU,13
대한항공,1330,1440,일반석,112700,2023-08-20,일,GMP-CJU,13
이스타항공,1340,1450,할인석,64600,2023-08-20,일,GMP-CJU,13
이스타항공,1340,1450,일반석,97600,2023-08-20,일,GMP-CJU,13
티웨이항공,1355,1505,할인석,57260,2023-08-20,일,GMP-CJU,13
티웨이항공,1355,1505,일반석,97700,2023-08-20,일,GMP-CJU,13
아시아나항공,1400,1510,할인석,69700,2023-08-20,일,GMP-CJU,14
아시아나항공,1400,1510,일반석,115700,2023-08-20,일,GMP-CJU,14
진에어,1415,1525,할인석,65000,2023-08-20,일,GMP-CJU,14
대한항공,1415,1525,특가석,67700,2023-08-20,일,GMP-CJU,14
대한항공,1415,1525,할인석,74700,2023-08-20,일,GMP-CJU,14
